"Especie","Longitud","Latitud"
"Peltophryne_empusa",-82.98,21.7
"Peltophryne_empusa",-82.74,22.97
"Peltophryne_empusa",-75.186134,19.939822
"Peltophryne_empusa",-78.00345,21.38333
"Peltophryne_empusa",-77.908348,21.683266
"Peltophryne_empusa",-82.91917,21.88194
"Peltophryne_empusa",-83.4158,22.48197
"Peltophryne_empusa",-81.191167,22.838833
"Peltophryne_empusa",-83.576111,22.241667
"Peltophryne_empusa",-83.226111,22.537778
"Peltophryne_empusa",-82.1618,23.125
"Peltophryne_empusa",-79.201944,22.380556
"Peltophryne_empusa",-78.339722,22.084167
"Peltophryne_empusa",-77.744222,21.072639
"Peltophryne_empusa",-77.758,21.165
"Peltophryne_empusa",-76.953,20.264
"Peltophryne_empusa",-82.901194,21.7088
"Peltophryne_empusa",-77.177,20.681
"Peltophryne_empusa",-77.112,20.668
"Peltophryne_empusa",-84.039,22.113
"Peltophryne_empusa",-76.469,20.794
"Peltophryne_empusa",-80.938889,22.951389
"Peltophryne_empusa",-82.4,23.1
"Peltophryne_empusa",-84.212222,21.988889
"Peltophryne_empusa",-76.1325,20.599167
"Peltophryne_empusa",-77.089725,21.041818
"Peltophryne_empusa",-77.273056,20.75
"Peltophryne_empusa",-78.389167,22.545833
"Peltophryne_empusa",-81.066667,22.983056
"Peltophryne_empusa",-80.905833,22.719167
"Peltophryne_empusa",-78.573333,22.489722
"Peltophryne_empusa",-81.179181,22.536842
"Peltophryne_empusa",-80.966111,22.142222
"Peltophryne_empusa",-76.943333,20.166111
"Peltophryne_empusa",-77.466667,21.533333
"Peltophryne_empusa",-77.528056,21.855278
"Peltophryne_empusa",-77.646333,22.026111
"Peltophryne_empusa",-78.170264,22.454795
"Peltophryne_empusa",-77.256944,21.654167
"Peltophryne_empusa",-75.535475,20.756913
"Peltophryne_empusa",-80.868889,22.404722
"Peltophryne_empusa",-76.655556,20.392222
"Peltophryne_empusa",-80.267222,22.576389
"Peltophryne_empusa",-84.17564,22.19777
"Peltophryne_empusa",-80.33145,22.13029
"Peltophryne_empusa",-80.67793,22.1276
"Peltophryne_empusa",-79.69235,22.21172
"Peltophryne_empusa",-79.93151,22.48663
"Peltophryne_empusa",-80.32005,21.97583
